Spanish,English
lavavajillas,dishwasher
estufa,stove
mesa,table
microondas,microwave
gabinete,cabinet
tostadora,toaster
horno,oven
mesón,counter
lavaplatos,sink
extractor de aire,range hood
nevera,fridge
licuadora,blender
cafetera,coffee maker
sartén,frying pan
fuegos,burners
horno,oven
cuchara,spoon
cuchara de madera,wooden spoon
cuenco / bol,bowl
tenedor,fork
servilleta,napkin
cazuela,casserole dish
cuchillo,knife
cubiertos,cutlery
cazo,saucepan
olla,pot
plato,plate
vaso,glass
copa,wine glass
taza,cup
a menudo,often
antes,before
hasta,until
a la parrilla,grilled
sopa,soup
a la semana,per week
limpiar,to clean
una vez,once
nadar,to swim
puedes,you can
lavar,to wash
ropa,clothes
terminar,to finish
horario,schedule
montar,to ride
caminar,to walk
cerca,near
descansar,to rest
no tengo preguntas,I have no questions
vender,to sell
Londres,London
Yo nací en 1988,I was born in 1988
¿Vio usted a Roberto ayer?,Did you see Roberto yesterday?
desayuno,breakfast
acostar,to go to bed
Está lloviendo,It is raining
Hace frío,It is cold
Está soleado,It is sunny
Está nevando,It is snowing
dibujar,to draw
jugar al fútbol,to play soccer
ir de compras,to go shopping
montar a caballo,to ride a horse
ir al cine,to go to the cinema
correr,to run
caminar,to walk
tocar el piano,to play the piano
ver la tele,to watch TV
ir a un concierto,to go to a concert
jugar al tenis,to play tennis
hacer los deberes,to do homework
nadar,to swim
bailar,to dance
