Person,Spanish,English,Future Time Marker
yo,trabajaré,I will work,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
tú,trabajarás,You will work,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
él/ella/usted,trabajará,He/She/You (formal) will work,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
nosotros/as,trabajaremos,We will work,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
vosotros/as,trabajaréis,You all (Spain) will work,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
ellos/ellas/ustedes,trabajarán,They/You all will work,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
yo,comeré,I will eat,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
tú,comerás,You will eat,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
él/ella/usted,comerá,He/She/You (formal) will eat,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
nosotros/as,comeremos,We will eat,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
vosotros/as,comeréis,You all (Spain) will eat,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
ellos/ellas/ustedes,comerán,They/You all will eat,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
yo,viviré,I will live,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
tú,vivirás,You will live,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
él/ella/usted,vivirá,He/She/You (formal) will live,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
nosotros/as,viviremos,We will live,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
vosotros/as,viviréis,You all (Spain) will live,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
ellos/ellas/ustedes,vivirán,They/You all will live,"dentro de, el año viene, luego, más tarde, pronto, el próximo, la próxima, el año, en el año"
